DIRECTION,STUDY_DATE,VOLUME
W,01/02/2023 04:15:00 PM,568
E,01/02/2023 04:15:00 PM,492
W,01/02/2023 04:30:00 PM,542
E,01/02/2023 04:30:00 PM,507
W,01/02/2023 04:45:00 PM,588
E,01/02/2023 04:45:00 PM,486
W,01/02/2023 05:00:00 PM,541
E,01/02/2023 05:00:00 PM,447
W,01/02/2023 05:15:00 PM,491
E,01/02/2023 05:15:00 PM,414
W,01/02/2023 05:30:00 PM,522
E,01/02/2023 05:30:00 PM,441
W,01/02/2023 05:45:00 PM,427
E,01/02/2023 05:45:00 PM,445
W,01/02/2023 06:00:00 PM,394
E,01/02/2023 06:00:00 PM,367
W,01/02/2023 06:15:00 PM,414
E,01/02/2023 06:15:00 PM,370
W,01/02/2023 06:30:00 PM,349
E,01/02/2023 06:30:00 PM,371
W,01/02/2023 06:45:00 PM,357
E,01/02/2023 06:45:00 PM,322
W,01/02/2023 07:00:00 PM,310
E,01/02/2023 07:00:00 PM,270
W,01/02/2023 07:15:00 PM,307
E,01/02/2023 07:15:00 PM,252
W,01/02/2023 07:30:00 PM,242
E,01/02/2023 07:30:00 PM,226
W,01/02/2023 07:45:00 PM,264
E,01/02/2023 07:45:00 PM,212
W,01/02/2023 08:00:00 PM,265
E,01/02/2023 08:00:00 PM,210
W,01/02/2023 08:15:00 PM,271
E,01/02/2023 08:15:00 PM,180
W,01/02/2023 08:30:00 PM,234
E,01/02/2023 08:30:00 PM,187
W,01/02/2023 08:45:00 PM,221
E,01/02/2023 08:45:00 PM,150
W,01/02/2023 09:00:00 PM,235
E,01/02/2023 09:00:00 PM,171
W,01/02/2023 09:15:00 PM,192
E,01/02/2023 09:15:00 PM,151
W,01/02/2023 09:30:00 PM,217
E,01/02/2023 09:30:00 PM,122
W,01/02/2023 09:45:00 PM,196
E,01/02/2023 09:45:00 PM,122
W,01/02/2023 10:00:00 PM,174
E,01/02/2023 10:00:00 PM,117
W,01/02/2023 10:15:00 PM,151
E,01/02/2023 10:15:00 PM,97
W,01/02/2023 10:30:00 PM,99
E,01/02/2023 10:30:00 PM,122
W,01/02/2023 10:45:00 PM,105
E,01/02/2023 10:45:00 PM,87
W,01/02/2023 11:00:00 PM,97
E,01/02/2023 11:00:00 PM,90
W,01/02/2023 11:15:00 PM,90
E,01/02/2023 11:15:00 PM,57
W,01/02/2023 11:30:00 PM,71
E,01/02/2023 11:30:00 PM,51
W,01/02/2023 11:45:00 PM,60
